TS Product Code,Product Brand Name,Part Name,Part Name Type,Supplier Copy,Toolstation Catalogue Copy,Toolstation Web Copy,Application Method,Colour Family,Colour Name,Content Volume,Coverage,Dilutable,Drying Time,Finish,Interior Or Exterior Use,Liquid Base,Recoat Time,Recommended Number Of Coats,Showerproof Ready,Substrate,Suitable For,Touch Dry
48232,Plastikote,Plastikote Metal Paint & Primer Spray Paint 400ml,Black Matt,,Advanced lacquer combines primer and paint in one product. For improving and protecting all metal surfaces. Hard wearing and protects against rust and corrosion. Interior and exterior use. Can be applied directly to rusty surfaces.,"<lt/>p<gt/>An advanced lacquer that combines primer and paint in one easy-to-use 400ml aerosol spray. Use this PlastiKote Metal Paint & Primer to improve and protect all metal surfaces.<lt/>/p<gt/><lt/>p<gt/>Suitable for interior or exterior use, you can apply this paint directly to rusty surfaces. The hard-wearing matt black finish protects against rust and corrosion, and looks great too.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• 400ml aerosol spray for easy application<lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 1.75m² per can<lt/>/p<gt/><lt/>p<gt/>• Quick-drying - touch-dry in just 40-60 minutes<lt/>/p<gt/><lt/>p<gt/>• Provides a lasting colour and matt black finish<lt/>/p<gt/><lt/>p<gt/>• Improves and protects all metal surfaces<lt/>/p<gt/><lt/>p<gt/>• Hard-wearing - stands up to rust and corrosion<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• Can be applied directly to rusty surfaces<lt/>/p<gt/>",Spray,Black,Black,400 ml,1.75 m² (4.4m²/L),No,24 hr,Matt,Interior and Exterior,Solvent,24 hr,,Yes,Metal,All metal surfaces,40 min
60376,Plastikote,Plastikote Quick Dry Acrylic Spray Paint 400ml,Silver Grey,,"Fast-drying acrylic lacquer for wood, metal, aluminium, glass, stone and various types of plastic. Choice of colour available.",,,Metallic,Silver,400 ml,,,,Gloss,,,,,,,,
10734,Bedec,Bedec Multi Surface Paint,Gloss White 750ml,,"• Interior and exterior
 • No primer or undercoat needed
 • Low VOCs
 • Save time and money
 • Use on a variety of surfaces including wood, MDF, metals, plastics, tiles, masonry, plaster and uPVC.","<lt/>p<gt/>Need a versatile and reliable paint you can depend on for all kinds of jobs? Make this Bedec Multi-Surface Paint your go-to choice - it's suitable for indoor or outdoor use on a wide variety of surfaces.<lt/>/p<gt/><lt/>p<gt/>Apply this gloss white paint directly to wood, plastic, metal, plastic-coated steel, galvanised steel, aluminium, copper, cladding, brick, masonry, fibreglass, terracotta, stone, plaster, MDF, tiles, melamine, UPVC and much more!<lt/>/p<gt/><lt/>p<gt/>With its outstanding flexibility, MSP resists flaking, peeling or cracking. It goes over most other paints and varnishes including weathered tar varnish, bitumen and creosote. This water-based paint is non-yellowing, and cleans up with water.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12-14m² per litre<lt/>/p<gt/><lt/>p<gt/>• Usually dries in 2-4 hours - recoatable after 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• No primer or undercoat needed<lt/>/p<gt/><lt/>p<gt/>• Use on wood, MDF, metals, plastics, tiles, radiators and more<lt/>/p<gt/><lt/>p<gt/>• Resistant to flaking, peeling and cracking<lt/>/p<gt/><lt/>p<gt/>• Quick-drying, water-based formula - low VOC<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 750ml tin - total coverage of up to 10.5m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,750 ml,10.5 m²,Yes,4 hr,Gloss,Interior and Exterior,Water,4 hr,2,No,Masonry;Metal;Plaster;Tile;UPVC;Vinyl;Wood,"Indoor or outdoor use on a wide variety of surfaces including wood, MDF, metals, plastics, tiles, radiators and more",2 hr
10239,Cuprinol,Cuprinol Garden Shades Exterior Paint 2.5L,Country Cream,,"These days it's not just plants that bring colour to the garden. Paint fences, sheds, ornaments and pots with Cuprinol Garden Shades to create a splash of colour or a subtle background for your borders. Garden Shades is a specially developed paint range suitable for use on multiple surfaces and works equally well on wood, stone, brick and terracotta.
 
 There's a wide range of colours available so you can mix and match shades for a stylish garden colour scheme that reflects your personality. The paint is easy to apply using a brush or spray, and special pigments give a rich shade without obscuring the natural grain of the wood. Apply a couple of coats, preferably on the same day, for best results. When used on smooth surfaces it dries to a matt finish.
 
 • Colour sheds, fences or other garden furniture
 • Six year protection for wood
 • Matt finish
 • Easy to apply with brush or spray
 • Special pigments ensure rich colour and natural grain still shows through
 • For best results apply 2 coats
 • Touch dry in one hour
 • Also apply to terracotta, brick, stone
 • Clean brushes with water","Bring more than just your plants to life by adding a splash of colour to your garden. With Cuprinol Garden Shades, you can easily paint fences, sheds, and even terracotta pots to create a stylish outdoor space that reflects your personality. This specially developed paint is designed for use on multiple surfaces including wood, stone, and brick.
 
 Application is straightforward with a brush or spray, and the special pigments ensure a rich, matt finish that enhances the natural grain of the wood. For the best results, apply two coats. The paint is water-based and touch-dry in just one hour, offering up to six years of weather protection for your garden wood.
 
 • Versatile use – suitable for wood, terracotta, brick, and stone
 • Long-lasting colour – provides six years of weather protection for wood
 • Rich matt finish – enhances the natural grain of the wood
 • Easy application – apply with a brush or spray for quick results
 • Quick-drying – touch dry in one hour for a faster job
 • Excellent coverage – up to 10m² per litre
 • Wide selection – available in a variety of colours and sizes",Brush;Spray,White,Cream,2.5 l,25m2 (10m2/L),No,4 hr,Matt,Exterior Use,Water,4 hr,2,No,Wood;Masonry,"Wood, terracotta, brick and stone such as fences, sheds, pots and outdoor furniture",1 hr
10174,Rustins,Rustins Original Danish Oil,1L,,"The Rustins Original Danish Oil is a finisher to apply to wooden units. You might use it on a worktop or a table in your kitchen to make them look extra clean. It's often applied to a hall cabinet or chest of drawers to brighten up a room. The finish lends a subtle shimmer to the wood, giving it an instant refresh.
 
 The original formula from Rustins is designed to suit all types of wood, so you can use it over all your different wooden assemblies. Plus, as well as being safe to use in the home, it fulfils all the hazard regulations for your peace of mind. You'll find the oil also applies easily across both straight and curved woodwork for a handy bit of versatility.
 
 • Rustins quality assured unique formulation
 • Suitable for all types of wood
 • Enhances existing beauty of wood
 • Provides a natural, open-grained finish
 • Leaves a soft lustrous finish
 • Leaves wood looking beautiful
 • Coverage around 14m² of wood surface per litre
 • Hazard safety codes: R10, R66/67",,Brush;Lint Free Cloth,White,Natural,1 l,14m²/L,No,4 hr,Satin,Interior and Exterior,Solvent,4 hr,3,No,Wood,"Interior wood and joinery such as worktops, kitchen tables hall cabinets or chests of drawers - can be used outside as a primer sealer under exterior coatings",4 hr
10264,Crown Trade,Crown Trade Clean Extreme Scrubbable Matt Emulsion Paint 5L,White,,Offers a finish that is 100% more stain resistant compared to conventional matt vinyl emulsion. It has superior cleaning capabilities which do not compromise the integrity or finished appearance of the paint film. Coverage up to 14m² per litre. Recoatable after only 4 hours.,"<lt/>p<gt/>Need a true matt finish that's tough enough for use in the busiest areas? Look no further than Crown Trade Clean Extreme Scrubbable Matt - it's up to 100% more stain-resistant than conventional matt vinyl emulsion.<lt/>/p<gt/><lt/>p<gt/>If you do need to clean it, this scrubbable white paint makes it easy to remove new and aged stains. Formulated for extreme durability in high-traffic areas, it can withstand up to 10,000 scrubs without compromising the integrity or finished appearance of the paint film.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 14m² per litre<lt/>/p<gt/><lt/>p<gt/>• Touch-dry in just 1-2 hours<lt/>/p<gt/><lt/>p<gt/>• Recoatable in just 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• 100% more stain-resistant than conventional vinyl matt<lt/>/p<gt/><lt/>p<gt/>• Impressive durability in high-traffic areas<lt/>/p<gt/><lt/>p<gt/>• Easy to clean - withstands up to 10,000 scrubs<lt/>/p<gt/><lt/>p<gt/>• ISO 11998 Class 1 scrub rating<lt/>/p<gt/><lt/>p<gt/>• Water-based formula<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 5L tin - total coverage of up to 70m²<lt/>/p<gt/>",Brush;Roller;Spray,White,White,5 l,14 m² per litre,Yes,4 hr,Matt,Interior Use,Water,4 hr,2,No,Plaster,Interior Walls,1 hr
11071,Plastikote,Plastikote Degreaser,400ml,,"Degreaser spray for removing dirt, grease, oil, silicones, wax, tar, and adhesives. Strengthens the adhesion of subsequent coating layers.",,,,,400 ml,,,,,,,,,,,,
11182,Cuprinol,Cuprinol Anti-Slip Decking Stain 5L,Silver Birch,,"• Long lasting weather protection
 • Anti Slip finish
 • Water based
 • Suitable for exterior use",,Brush;Decking Pad,Grey,Grey,5 l,Up to 12m2/L,No,6 hr,Matt,Exterior Use,Water,2 hr,2,No,Wood,Adding colour to decking with an anti slip finish - not suitable for composite,2 hr
11194,Leyland Trade,Leyland Trade Floor Paint 5L,Slate,,"A hard wearing, protective satin finish, based on polyurethane alkyd resins. Ideal for use on most concrete and wooden floors, such as garages, warehouses and workshops. Coverage approx 11m² per litre. Use 12"" solvent resistant roller sleeve (code 69803). Hazard safety codes: R10, R66.
 
 
 
 Leyland advice/helpline: 01924 354100.
 
 • Provides a hard-wearing, protective satin finish for concrete and wood floors
 • Tough and durable - resistant to mild chemicals too
 • Designed to withstand spillages and repeated cleaning
 • Coverage of 11 m²/Ltr
 • Easy application with a brush or roller
 • Recoat time of just 16-24 hours
 • Suitable for interior floors
 • Solvent-based","<lt/>p<gt/>A hard-wearing, protective satin finish for internal floors. This easy-to-apply Leyland Trade Heavy Duty Floor Paint is perfect for most wooden and concrete floors including garages, warehouses and workshops.<lt/>/p<gt/><lt/>p<gt/>The slate grey paint is formulated to withstand spillages and repeated cleaning, and is resistant to mild chemicals too - this is a tough and durable floor paint offering coverage of up to 11m² per litre when applied by brush or roller.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 11m² per litre<lt/>/p<gt/><lt/>p<gt/>• Recoatable in 16-24 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush or roller<lt/>/p<gt/><lt/>p<gt/>• Suitable for concrete and wood floors<lt/>/p<gt/><lt/>p<gt/>• Provides a hard-wearing, protective satin finish<lt/>/p<gt/><lt/>p<gt/>• Tough and durable - resistant to mild chemicals<lt/>/p<gt/><lt/>p<gt/>• Withstands spillage and repeated cleaning<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior use only<lt/>/p<gt/><lt/>p<gt/>• Hazard safety codes - R10, R66<lt/>/p<gt/><lt/>p<gt/>• Can be used with 12"" solvent-resistant roller sleeve - (code 69803)<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 5L tin - total coverage of up to 55m²<lt/>/p<gt/>",,Grey,Grey,5 l,,,,Satin,,,,,,,,
11976,Bedec,Bedec Multi Surface Paint,Satin Black 750ml,,,"<lt/>p<gt/>Need a versatile and reliable paint you can depend on for all kinds of jobs? Make this Bedec Multi-Surface Paint your go-to choice - it's suitable for indoor or outdoor use on a wide variety of surfaces.<lt/>/p<gt/><lt/>p<gt/>Apply this satin black paint directly to wood, plastic, metal, plastic-coated steel, galvanised steel, aluminium, copper, cladding, brick, masonry, fibreglass, terracotta, stone, plaster, MDF, tiles, melamine, UPVC and much more!<lt/>/p<gt/><lt/>p<gt/>With its outstanding flexibility, MSP resists flaking, peeling or cracking. It goes over most other paints and varnishes including weathered tar varnish, bitumen and creosote. This water-based paint is non-yellowing, and cleans up with water.<lt/>/p<gt/><lt/>p<gt/><lt/>br<gt/><lt/>/p<gt/><lt/>p<gt/>• Coverage of up to 12-14m² per litre<lt/>/p<gt/><lt/>p<gt/>• Usually dries in 2-4 hours - recoatable after 4 hours<lt/>/p<gt/><lt/>p<gt/>• Easy to apply by brush, roller or spray<lt/>/p<gt/><lt/>p<gt/>• Suitable for interior and exterior use<lt/>/p<gt/><lt/>p<gt/>• No primer or undercoat needed<lt/>/p<gt/><lt/>p<gt/>• Use on wood, MDF, metals, plastics, tiles, radiators and more<lt/>/p<gt/><lt/>p<gt/>• Resistant to flaking, peeling and cracking<lt/>/p<gt/><lt/>p<gt/>• Quick-drying, water-based formula - low VOC<lt/>/p<gt/><lt/>p<gt/>• Supplied in a 750ml tin - total coverage of up to 10.5m²<lt/>/p<gt/>",Brush;Roller;Spray,Black,Black,750 ml,10.5 m²,Yes,4 hr,Satin,Interior and Exterior,Water,4 hr,2,No,Masonry;Metal;Plaster;Tile;UPVC;Vinyl;Wood,"Indoor or outdoor use on a wide variety of surfaces including wood, MDF, metals, plastics, tiles, radiators and more",2 hr
