Term,Searches
colour - Black,285563
colour - White,208512
category - c5,172157
brand - DeWalt,159972
milwaukee,139008
work trousers,116662
category - c6,114393
category - c12,113653
paint brush,110545
extension lead,103393
category - c4,97079
category - root,96980
category - c15,96191
masking tape,94267
colour - Chrome,93675
brand - Milwaukee,93527
radiator,88594
category - c8,88051
category - c733,87459
interiorexterioruse - Exterior Use,86424
expanding foam,83267
wood screws,81441
safety boots,79370
wood filler,77840
screws,77495
category - c21,77396
Filler,76163
paint roller,75917
category - c734,73500
dewalt,73006
category - c7,72365
category - c11,72168
drill bits,70540
silicone sealant,69800
Screws,67876
bathroom extractor fan,67728
sandpaper,66692
cordless - Battery,66347
milwaukee,64522
tape measure,64275
Gloves,63930
pressure washer,63486
multi tool blades,62795
brand - Bosch,62154
door handle,61562
tile adhesive,61414
stanley knife,61167
gloves,58553
category - c1,58010
colour - Grey,57813
ts_length - 50mm,56432
led strip lights,56333
toilet seat,56185
fence paint,55889
brand - Makita,55248
junction box,55149
Dewalt,54903
angle grinder,54212
dust sheet,54113
expanding foam,53867
tarpaulin,53669
cordless - Mains,52880
double socket,52831
chainsaw,52683
filler,52634
spirit level,52387
Milwaukee,51943
cable ties,50858
category - c20,50808
category - c13,50414
masking tape,50364
plasterboard fixings,50315
diameter_mm - 15mm,49772
category - c16,49625
Fan,49279
internal door handles,49279
hose pipe,49230
kitchen mixer tap,49082
socket set,48194
paint brush,47553
ts_length - 100mm,47207
light switch,47010
Wood filler,46517
ts_length - 40mm,46221
multi tool,46024
laser level,45629
15mm copper pipe,45580
2.5 twin and earth cable,45432
impact driver,45185
circular saw,44346
lampcaptype - ES (E27),43902
kitchen tap,43804
multi tool blades,43508
colour - Clear,43508
work boots,43409
Masking tape,43113
lawn mower,42472
ronseal fence paint,42423
wire brush,41732
rubble sacks,41584
milwaukee packout,41387
hedge trimmer,41239
screwdriver set,40351
nail gun,39808
ts_length - 30mm,39709
shower head,39611
Filler,39561
15mm copper pipe,39463
circular saw blade,39266
grab adhesive,39266
dewalt battery,38970
super glue,38970
radiator,38920
wood screws,38871
diameter_mm - 6mm,38822
brand - Einhell,38723
tool box,38526
padlock,38427
shelf brackets,38378
silicone sealant,38180
diameter_mm - 10mm,38180
white silicone,37884
decorators caulk,37391
concrete screws,37095
brand - BG,36602
lampcaptype - BC (B22),36552
step ladder,36404
ts_reviews - [4 TO 5],36404
radiators,36355
gangs - 2,36059
interiorexterioruse - Interior Use,35961
voltage - 18V,35911
Paint brush,35418
self levelling compound,35369
2.5 twin and earth cable,35270
Gloves,35221
bucket,35122
tool bag,35023
drain unblocker,34826
Screws,34777
Paint,34777
ts_length - 25mm,34678
cable clips,34283
mitre saw,34185
colour - Brass,34086
Boots,33987
milwaukee packout,33839
masonry paint,33741
stainless steel screws,33691
Work trousers,33593
double sided tape,33543
paint,33494
extension lead,33346
basin taps,33346
sanding pads,33297
Ct1,33198
thread - M8,33149
ct1,33050
flexible tap connector,32902
wheelbarrow,32902
decking screws,32853
Caulk,32803
safety trainers,32754
downlights,32508
staple gun,32409
gangs - 1,32310
tile adhesive,32064
smoke alarm,31965
